CP,Năm,TÀI SẢN NGẮN HẠN (đồng),Tiền và tương đương tiền (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,TÀI SẢN DÀI HẠN (đồng),Phải thu về cho vay dài hạn (đồng),Tài sản cố định (đồng),Giá trị ròng tài sản đầu tư,Đầu tư dài hạn (đồng),Lợi thế thương mại,Tài sản dài hạn khác,TỔNG CỘNG TÀI SẢN (đồng),NỢ PHẢI TRẢ (đồng),Nợ ngắn hạn (đồng),Nợ dài hạn (đồng),VỐN CHỦ SỞ HỮU (đồng),Vốn và các quỹ (đồng),Các quỹ khác,Lãi chưa phân phối (đồng),Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Tài sản dài hạn khác (đồng),Phải thu dài hạn khác (đồng),Phải thu dài hạn (đồng)
VJC,2024,42388578733114,4558984549152,3825833411115,31756528415194,2005435760243,241796597410,57135100438279,921644963530,14165912678388,0,149417024400,0,10222925205494,99523679171393,82593526197906,33852758118279,48740768079627,16930152973487,16930152973487,0,10675301508086,0,22098467102,99523679171393,769368218015,1035552453293,2005435760243,0,0,5416113340000,5416113340000,0,30052392436812,1515557303596,13561623589695,0,10222925205494,149417024400,21557321326234,29051489946336
VJC,2023,40826968900401,5050743180748,613343871096,34243067480800,703384543264,216429824493,46098452016368,874767806179,10173343104449,0,149417024400,0,9089327044712,86925420916769,71672280613334,38861475794473,32810804818861,15253140303435,15253140303435,0,9249524468061,0,21258359337,86925420916769,1778869624304,457000000000,703384543264,0,0,5416113340000,5416113340000,0,17257038503121,3546076667248,13553794368608,0,9056529403935,149417024400,17373126467349,26305729746755
VJC,2022,33587472621916,1858261735520,687775421096,29729804064103,982716071675,328915329522,34449491811396,868221855860,5709719496248,0,149417024400,0,7043459740555,68036964433312,53138669609828,30417318604359,22721351005469,14898294823484,14898294823484,0,9018933578880,0,20435833167,68036964433312,1626225517323,657000000000,982716071675,0,0,5416113340000,5416113340000,0,10309745847108,1986659055915,8549901782085,0,6639189192765,149417024400,15373968746782,21238145855696
VJC,2021,26866732678773,1868252946557,859475421096,23261094436070,811247030655,66662844395,24786971332567,789648322692,1158451949883,0,149417024400,0,6089054634450,51653704011340,34799493690860,15522180566553,19277313124307,16854210320480,16854210320480,0,11281432588734,0,19911667098,51653704011340,100108467605,657000000000,811247030655,0,0,5416113340000,5416113340000,0,8140241446768,544895468268,7320070386166,0,6089054634450,149417024400,16099638705255,16889287027947
VJC,2020,25382768751524,2926425627363,604000000000,20896413814943,712093262127,243836047091,19814061480237,499159644000,850496391339,0,198244065926,0,4991551307222,45196830231761,30218431246643,19833798568095,10384632678548,14978398985118,14978398985118,0,11589250587139,0,655829944,45196830231761,163063451513,0,712093262127,0,0,5416113340000,5416113340000,0,1347040509856,772902367939,10094815636734,0,4991551307222,149417024400,12470368675817,12969528319817
VJC,2019,24458549292502,5364049804580,1144756800000,16755814490657,747898679837,446029517428,24400204516009,0,1304424116769,0,215973206218,0,6591680689870,48858753808511,33955921978450,19169599306127,14786322672323,14902831830061,14902831830061,0,11520659436312,0,2411184871,48858753808511,187271445833,499482168000,747898679837,0,0,5416113340000,5416113340000,0,3661872522217,669963368463,8161089248187,0,6591680689870,149417024400,14268225059773,14969725059773
VJC,2018,19079292916555,7164923007451,816900000000,10272635073584,468729305585,356105529935,20006886184114,0,1646373479969,0,68424629818,0,6481745760491,39086179100669,25047675864087,14940720495496,10106955368591,14038503236582,14038503236582,0,8255509576829,0,1827251260,39086179100669,129927091931,499804692000,468729305585,0,0,5416113340000,5416113340000,0,572231674577,688665229378,4957780032953,0,6481745760491,7868448000,9875836637830,10577336637830
VJC,2017,17668643983650,6861601955584,1400000000,10223453944832,267181519500,315006563734,13989621257774,0,1528720840609,0,68424629818,0,5017769859431,31658265241424,21064130723313,13911511198702,7152619524611,10594134518111,10594134518111,0,5809062955579,0,1773131355,31658265241424,533003878162,487333764000,267181519500,0,0,4513432840000,4513432840000,0,626905284322,456356000505,6897226897293,0,5017769859431,7868448000,6451174330646,7152674330646
VJC,2016,10313466695796,2741341465691,1400000000,7128756627068,137930296755,304038306282,9749234828931,0,1047218102390,0,68424629818,0,3347515452927,20062701524727,15328679347088,10570076600330,4758602746758,4734022177639,4734022177639,0,1702862911199,0,1485942037,20062701524727,91313966035,0,137930296755,0,0,3000000000000,3000000000000,0,694840299644,306908790544,6102386845285,0,3347515452927,7868448000,4403274400197,5104774400197
VJC,2015,6257864316315,923512917695,270000000000,4691405870021,164428122872,208517405727,5786999448908,0,28964897604,0,8424629818,0,2727029392761,12044863765223,9897423484873,6393867460244,3503556024629,2147440280350,2147440280350,0,685722725515,0,1139084792,12044863765223,334715978511,32000000000,164428122872,0,0,1450000000000,1450000000000,0,0,169271600512,3543467794788,0,2727029392761,7868448000,2885226595760,2885226595760
VJC,2014,4230203619052,526748546327,270000000000,3254612284483,93621363904,85221424338,3446869245347,0,32699942894,0,8424629818,0,1868158966750,7677072864399,6710416472291,4211195391674,2499221080617,966656392108,966656392108,0,165469371669,0,727479009,7677072864399,354150474733,2000000000,93621363904,0,0,800000000000,800000000000,0,0,137609503395,2602248050994,0,1868158966750,7868448000,1391486428458,1391486428458
VJC,2013,826927902967,309130444725,249681666667,139337334810,60693040643,68085416122,2120913869152,0,141588239045,0,0,0,1979325630107,2947841772119,2342794975098,1039918245022,1302876730076,605046797021,605046797021,0,-194953202979,0,0,2947841772119,17491481148,0,60693040643,7024829371,0,800000000000,800000000000,0,0,45639069404,208901048474,0,1032850222070,0,0,0
