CP,Năm,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ
VJC,2024,1869094088920,613617225145,1063193861899,-510288540912,0,-749512275444,2796116772997,0,5082221132605,4085969392806,-1302051216979,-4083912936352,-1227423904579,-2376423013949,-570964920,0,-130000000,177678488632,-10657039214084,859025556874,-3809681461519,118289468207,0,0,213390186210,-13276015464312,0,0,61181118746857,-48245493809058,-313354773438,-57789721550,0,12564480442811,-533856532869,5050743180748,42097901273,4558984549152
VJC,2023,606103607021,413253679639,3711543636438,-59094506815,0,-876478926895,1950254195864,0,5745581685252,-5993691136973,279331528411,639223032704,-2639461061745,-2133310794200,-3508148950,0,-140802046115,-4246636941616,-1425811924197,2023818105897,-2186560400000,277981550000,0,0,353865999244,-956706669056,0,0,34763821531653,-26207009542495,-145116305330,0,0,8411695683828,3208352073156,1858261735520,-15870627928,5050743180748
VJC,2022,-2648658910470,79733663056,2209609938161,-159921609696,0,-431399777771,1383641245573,0,433004548853,-10296343168616,-171469041020,9834914965147,-473124382100,-1399077113144,-140133402011,0,-180858291727,-2393085884618,-1217474531281,675212377,-238445921500,0,0,0,336906630740,-1118338609664,0,0,29657737382993,-26177921993857,0,0,0,3479815389136,-31609105146,1868252946557,21617894109,1858261735520
VJC,2021,180379522924,98078009402,1248753445939,220650652715,0,-244838291866,804782847259,0,2307806186373,-5591418282646,-99153768528,-1689496549248,-866941322443,-546700781758,-11391168246,0,-53526042557,-6550821729053,-174908809761,802487001,-954307071788,6556181818,-21806385793,0,260368105967,-883295492556,2348654987714,0,17361032360990,-13316544337918,0,0,0,6393143010786,-1040974210823,2926425627363,-17198469983,1868252946557
VJC,2020,-244492770448,141435349577,-119581017648,30763613923,0,-741818692497,452572729500,0,-481120787593,-1032209073740,35805417710,-824443624713,-218645374852,-432836309700,-254507686710,0,0,-3207957439598,-293759925297,397277400299,0,709756800000,0,0,329815665506,1143089940508,0,0,17804330775879,-18173617597912,0,0,0,-369286822033,-2434154321123,5364049804580,-3469856094,2926425627363
VJC,2019,4568651014974,175155660359,1289143641551,-43926035073,-694598317992,91807064610,351417652590,-561265917288,5176384763731,-7459149825284,-279169374252,2298995278929,-970059270460,-322342594337,-471622340241,0,0,-2026963361914,-2594037639233,0,-715756800000,1400000000,0,0,207816031475,-3100578407758,0,-2347121362620,600000000000,37007640045521,-31317610606550,-543112133500,0,3399795942851,-1727745826821,7164923007451,-73127376050,5364049804580
VJC,2018,5815929109755,146514029742,609233395693,51320437305,10506525264,72459087954,257505446656,-224219006627,6739249025742,-5284489946127,-201547786085,1460880367204,2077117427703,-254235595773,-108000000000,0,0,4428973492664,-799749729193,1545988562283,0,0,-1132840350000,0,208998836537,-177602680373,0,0,33529973247843,-35527608459899,0,-2016955829400,0,-4014591041456,236779770835,6861601955584,66541281032,7164923007451
VJC,2017,5302638877099,94989734425,277580251779,5586837437,0,44276615962,237597428875,-73672303358,5888997442219,-2794306394758,-129251222745,1824012605198,1344397355809,-236852306374,-318798833058,0,0,5578198646291,-2622026914625,0,-487333764000,0,0,0,67349020441,-3042011658184,1759382332805,0,25899054643065,-25184711574405,0,-876827065550,0,1596898335915,4133085324022,2741341465691,-12824834129,6861601955584
VJC,2016,2703146064623,45873196847,495368513983,-50494265652,0,-40889050444,180732739883,-1180266000,3332556933240,-2628501734577,26497826117,848242406191,275392428650,-177942929579,-40220855647,0,0,1636024074395,-3145883637305,0,-1400000000,270000000000,-60000000000,0,107091074415,-2830192562890,71500000000,0,21249914036344,-18035136049967,0,-300000000000,0,2986277986377,1792109497882,923512917695,25719050114,2741341465691
VJC,2015,1168482527232,10165032533,272908367170,40184427061,16078787,-45795030934,129699274892,0,1575660676741,-1625001218034,-71064886853,1014101748947,120235326504,-162169963853,0,0,0,851761683452,-1209724055527,0,0,0,0,-1261983489,10256694183,-1200729344833,0,0,13666588908049,-12926501340454,0,0,0,740087567595,391119906214,526748546327,5644465154,923512917695
