CP,Năm,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ
VJC,2024,0.23170894408142434,71858661874889,1425777040025,5.183145592130705,2080223197084,-2796116772997,71858661874889,0,71858661874889,-64892070635002,6966591239887,-3669023343020,0,-2597416061024,-1348824607052,1431550425875,475713362618,0,-38169699573,437543663045,1869094088920,-11477560242,-430999380888,1426617147790,840107765,1425777040025
VJC,2023,0.4533609963749238,58340618715308,230590889181,1.101918669655409,2955033555114,-1950254195864,58340618715308,0,58340618715308,-55819871829489,2520746885819,-2242066937617,0,-1950124205949,-1099316843401,184272453966,662197107572,0,-240365954517,421831153055,606103607021,-3217284657,-371472907013,231413415351,822526170,230590889181
VJC,2022,2.117834079282073,40141863488029,-2262499009854,-31.33454211958802,2246221465280,-1383641245573,40141863488029,0,40141863488029,-42135151389707,-1993287901678,-2483054483054,0,-936343663352,-534452104416,-3700916687220,1316105112282,0,-263847335532,1052257776750,-2648658910470,-172103552548,558787619233,-2261974843785,524166069,-2262499009854
VJC,2021,-0.2933747111410147,12874919725450,74584907230,0.08738381454070365,4032772056932,-804782847259,12874919725450,0,12874919725450,-14913724210509,-2038804485059,-806254583608,-42270859708,-607756237934,-365729158499,171956732124,16201777600,0,-7778986800,8422790800,180379522924,-14027919315,-86692296300,79659307309,5074400079,74584907230
VJC,2020,-0.6399360526064044,18220292888526,68591150827,-0.9819817563170432,970429628494,-452572729500,18220292888526,0,18220292888526,-19632221357027,-1411928468501,-419415685869,-17729140292,-764076040739,-374847317582,-2017567024489,1779506069100,0,-6431815059,1773074254041,-244492770448,-13462059245,326620164827,68665335134,74184307,68591150827
VJC,2019,-0.05551434477739533,50602936007389,3806761193483,-0.2864601216241318,780495784919,-351417652590,50602936007389,0,50602936007389,-44980140698282,5622795309107,-1024667417427,-91807064610,-1003521966058,-435654189800,3847640456131,721382385427,0,-371826584,721010558843,4568651014974,-741648874040,-19657013840,3807345127094,583933611,3806761193483
VJC,2018,0.2665188664600417,53577241462140,5335036357250,0.051577635923030565,331576806364,-257505446656,53577241462140,0,53577241462140,-46085422009499,7491819452641,-918059279654,-88730587954,-712929844155,-294777399221,5808899148021,7856232457,0,-826270723,7029961734,5815929109755,-253597027514,-227241605086,5335090477155,54119905,5335036357250
VJC,2017,0.5383214869298435,42302758277806,5073364224380,1.032890900492333,118683815564,-237597428875,42302758277806,-185595188,42302572682618,-35753175886701,6549396795917,-520764518091,-44276615962,-578782913704,-225808906918,5298447656806,5745444926,0,-1554224633,4191220293,5302638877099,-163912482079,-65074981322,5073651413698,287189318,5073364224380
VJC,2016,0.3856705776008594,27499296237637,2495640185684,1.1325640105898085,144656340136,-180732739883,27499296237637,0,27499296237637,-23597459394556,3901836843081,-653948554956,-14605462081,-517790332496,-188801029582,2671347804102,31852848762,0,-54588241,31798260521,2703146064623,-156246350074,-50912671620,2495987042929,346857245,2495640185684
VJC,2015,1.279447558330059,19845478919852,1170253353846,2.246892498309536,153676796667,-129699274892,19845478919852,0,19845478919852,-17735540395773,2109938524079,-561567340925,-20606172829,-317844423588,-203353915992,1160243467412,8379092634,0,-140032814,8239059820,1168482527232,0,2149186431,1170631713663,378359817,1170253353846
VJC,2014,1.2974368464895554,8706266940570,360422574648,10.199197704231134,76992408178,-64322932666,8706266940570,0,8706266940570,-7826514806251,879752134319,-210284872859,-10203736418,-186372435673,-140988790746,408894706801,36640258908,0,-1214889955,35425368953,444320075754,0,-84170022097,360150053657,-272520991,360422574648
VJC,2013,,3789556589498,32182892397,,24671713632,-10375194974,3789556589498,0,3789556589498,-3508996070948,280560518550,-92049276103,0,-139194362530,-77804540623,-3815947074,5176498098,0,-27010958,5149487140,1333540066,0,30849352331,32182892397,0,32182892397
