Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
VJC,2024,5,4.351195679,4.8784867052,0.83672679748211,3.1258860202299608,0.7708126437,5.9047542387,77.63013019546464,7.6181835554,42.1860860423,127.43439979316463,47.9116835849,0.04203182320691754,0.09694852448012915,0.01984140815908009,0.0887230777,0.0498867293,0.0152940083,3633967796956,3020350571811,0.0,1.2521454998,0.1639152866,1.1019933098,-1.0801947189686418,5.8784867051850815,51994688064000,541611334,36.4676149246,3.0751431541,0.7235688323,292.6335566242,2632.4726801692077,31218.0588643018,25.0551806259
VJC,2023,5,3.1513426363,4.6988540843,0.6669671229706035,2.816252051223692,0.7529649029,7.3462681829,95.48608679699433,5.5126131992,60.3710577693,161.36975776549434,66.2117922678,-0.009062196719423475,0.04320740748602279,0.003952493035876825,0.015316697,-0.0114773895,0.0029760885,-115440483892,-528694163531,0.0,1.0505769034,0.1554429691,1.0366001249,0.27108987364428067,5.698854084309015,54161133400000,541611334,234.8797629966,3.5557742371,0.9283606275,-12.7538883461,425.74974839983685,28123.2703008722,-692.3153853526
VJC,2022,5,1.9579014795,3.5667618502,0.38324651001320226,2.750735423768661,0.6707601187,11.6892432878,143.58089237633166,7.770193185,55.8796909595,207.23077652083168,46.9743790549,-0.08629603532180438,-0.049656087896179334,-0.0563625804399618,-0.1426896924,-0.1026153675,-0.0378057711,-3384350006390,-3464083669446,0.0,1.1042220078,0.0936394747,1.0710367414,2.5035996003512007,4.566761850226388,58494024072000,541611334,-25.8537236115,3.9316157056,1.4571825767,-24.4429272046,-4177.3479759823485,27469.6226913099,-22.3072110813
VJC,2021,5,1.4002764194,2.0647359342,0.06873368302965427,3.1118644057917737,0.2658719402,12.8175717227,284.17115784921185,18.6411924687,81.5359788684,384.34832918631184,19.5802924418,-0.23396572139689326,-0.15835473374089254,0.005793038622413091,0.0046860693,-0.0932178377,0.0015402064,-2914211872090,-3012289881492,0.0,1.7308607231,0.1841399109,1.682711219,3.7429846967433775,3.0647359341762934,59306441073000,541611334,795.1533798938,3.5229528889,4.6063542405,-9.0532827065,137.70928071087965,31081.8803016076,-25.0148249884
VJC,2020,5,0.8538226728,2.0174673726,0.056781528665648624,2.7655253952122796,0.3874367072,16.9104083607,162.36541817296145,13.5720010774,49.4223139932,225.35973324356144,26.893602345,-0.14000059397664055,-0.07749208408115899,0.0037645471039707825,0.0045909187,-0.0965490989,0.0014585237,-2409416477245,-2550851826822,0.0,1.2797734465,0.1974622064,1.251038189,5.636335688277479,3.0174673726255357,69488734152200,541611334,1013.0859930819,4.6394662689,3.8138099413,-21.6613641111,126.64275379990478,27654.043065454,-32.374712055
VJC,2019,5,1.0390531457,2.2784878985,0.08752860742465084,2.751573110554773,1.1507868466,34.2978021016,37.959845054563054,4.936280854,11.4360274736,54.33215338216305,73.9423081455,0.08267542327263602,0.11111598956009122,0.07522806963072537,0.2630674214,0.1565386314,0.086571473,4358774813608,4183619153249,0.0,1.2759030015,0.3314649254,1.2055475926,-11.904977232689106,3.2784878985184798,69597056419000,541611334,20.3138728061,4.6708115211,1.3753560941,-34.3356262509,7028.58480705834,27511.2792325539,17.4489327018
VJC,2018,5,0.4346790594,1.7842127072,0.11727557078014023,2.5919884528454125,1.5146699352,33.7484408667,14.845441752062635,2.9142344742,5.8763630196,23.636039245862634,125.2473001853,0.12102362929317581,0.13983212364404846,0.09957654055444358,0.4331680927,0.3313543326,0.1508255922,6630626239007,6484112209265,0.0233463035,1.276999521,0.5458185909,1.2333781417,-25.180485669210277,2.784212707150783,69597056419000,541611334,13.0452824983,4.958229177,1.2990041017,15.7140376962,9850.304124636357,25916.5107968771,10.2497324792
VJC,2017,5,0.7693915394,1.9882823545,0.14429879458256872,1.9560400333333867,1.6357997666,32.8443908173,13.832132658838413,2.0678696265,4.8562148401,20.75621712543841,176.5101606624,0.135802732812407,0.15482265925183616,0.11993039436262537,0.6619666441,0.3170725473,0.1961821111,5839794709720,5744804975295,0.0311284047,1.2700736628,0.4932319615,1.2281236493,-24.178733761960622,2.988282354476736,57997611994000,451343284,11.4317855823,5.475418547,1.3710185532,10.3971937307,11240.588714243502,23468.5255375507,10.0448980034
VJC,2016,5,1.5826008336,3.2379821581,0.22121106811381255,0.8740626128845007,1.7129480849,51.1052418367,15.911707884136096,2.3384047689,6.3181411667,24.568253819736093,156.089315612,0.11619371831886435,0.1418886072342731,0.09075287469605618,0.7253226188,0.2770944753,0.1554549629,3241118677850,3195245481003,0.0272373541,0.9757229853,0.2593492525,0.9337773477,-17.679394906929918,4.23798215806688,38550000000000,300000000,15.4469383131,8.145737947,1.4018540572,23.5632229399,8318.800618946667,15775.12078534,13.1454259822
