time,open,high,low,close,volume
2023-09-11 10:00:00,75.45,75.54,74.98,74.98,1439500
2023-09-11 11:00:00,74.98,75.07,74.7,74.79,173400
2023-09-11 13:00:00,74.79,75.07,74.13,74.23,777100
2023-09-11 14:00:00,74.23,74.7,72.91,74.7,1844900
2023-09-12 10:00:00,73.76,74.04,73.76,73.95,667300
2023-09-12 11:00:00,73.95,74.23,73.85,74.04,106400
2023-09-12 13:00:00,74.23,74.7,74.04,74.6,468800
2023-09-12 14:00:00,74.7,75.82,74.7,75.45,1426000
2023-09-13 10:00:00,74.79,74.79,74.23,74.51,704600
2023-09-13 11:00:00,74.51,74.79,74.42,74.79,116200
2023-09-13 13:00:00,74.79,75.45,74.6,74.98,677000
2023-09-13 14:00:00,74.98,74.98,73.95,74.32,1009200
2023-09-14 10:00:00,74.13,74.23,73.66,74.04,468900
2023-09-14 11:00:00,74.04,74.04,73.76,73.95,157700
2023-09-14 13:00:00,73.85,74.32,73.76,74.13,804900
2023-09-14 14:00:00,74.13,75.17,73.95,74.6,1051100
2023-09-15 10:00:00,74.88,75.26,74.6,75.07,1187300
2023-09-15 11:00:00,74.98,75.17,74.7,74.98,139800
2023-09-15 13:00:00,75.26,76.29,74.23,75.92,2240200
2023-09-15 14:00:00,75.92,76.2,74.7,74.7,2047500
2023-09-18 10:00:00,74.51,74.79,74.42,74.51,311700
2023-09-18 11:00:00,74.51,74.6,74.23,74.23,159800
2023-09-18 13:00:00,74.23,74.32,73.95,74.23,481400
2023-09-18 14:00:00,74.23,74.32,74.04,74.13,369200
2023-09-19 10:00:00,74.04,74.04,73.66,73.66,505600
2023-09-19 11:00:00,73.66,73.66,73.38,73.48,210100
2023-09-19 13:00:00,73.57,73.85,73.1,73.48,692600
2023-09-19 14:00:00,73.38,74.13,72.72,74.13,1163400
2023-09-20 10:00:00,73.66,73.66,73.48,73.48,508900
2023-09-20 11:00:00,73.57,73.57,73.29,73.57,224700
2023-09-20 13:00:00,73.57,73.95,73.38,73.95,448700
2023-09-20 14:00:00,73.95,74.04,73.57,73.57,660500
2023-09-21 10:00:00,73.19,73.19,72.82,73.01,1059000
2023-09-21 11:00:00,73.01,73.1,72.72,72.82,304900
2023-09-21 13:00:00,72.82,73.38,72.63,72.91,646100
2023-09-21 14:00:00,72.82,73.29,72.63,73.29,527900
2023-09-22 10:00:00,72.35,72.35,71.22,71.31,2063200
2023-09-22 11:00:00,71.31,72.07,71.31,71.97,268800
2023-09-22 13:00:00,71.6,73.57,71.6,73.19,1208200
2023-09-22 14:00:00,73.29,73.38,72.82,72.82,704700
2023-09-25 10:00:00,73.48,73.48,73.19,73.19,934600
2023-09-25 11:00:00,73.19,73.57,73.19,73.48,143300
2023-09-25 13:00:00,73.38,73.57,73.19,73.19,807700
2023-09-25 14:00:00,73.19,73.29,72.07,72.91,869900
2023-09-26 10:00:00,72.25,72.91,72.07,72.25,911400
2023-09-26 11:00:00,72.35,72.54,71.5,71.69,276200
2023-09-26 13:00:00,71.69,72.25,71.6,72.07,692100
2023-09-26 14:00:00,72.07,72.35,71.41,71.5,654900
2023-09-27 10:00:00,71.03,71.13,70.28,70.66,1094300
2023-09-27 11:00:00,70.56,71.22,70.56,70.84,266800
2023-09-27 13:00:00,70.84,71.97,70.75,71.5,515000
2023-09-27 14:00:00,71.5,71.97,71.41,71.97,397200
2023-09-28 10:00:00,71.03,71.03,70.28,70.56,744700
2023-09-28 11:00:00,70.66,70.66,70.28,70.56,158700
2023-09-28 13:00:00,70.56,70.84,70.28,70.66,367400
2023-09-28 14:00:00,70.84,71.78,70.28,70.28,618500
2023-09-29 10:00:00,70.94,71.78,70.84,71.78,460600
2023-09-29 11:00:00,71.69,71.69,70.94,70.94,44800
2023-09-29 13:00:00,70.84,71.31,70.66,71.13,385200
2023-09-29 14:00:00,71.22,71.31,69.72,69.72,513300
2023-10-02 10:00:00,70.09,70.37,69.91,70.19,427500
2023-10-02 11:00:00,70.19,70.75,70.09,70.75,64600
2023-10-02 13:00:00,70.75,71.03,70.37,70.56,359500
2023-10-02 14:00:00,70.47,71.03,70.19,71.03,308300
2023-10-03 10:00:00,70.28,70.37,69.72,69.72,424400
2023-10-03 11:00:00,69.72,69.91,69.72,69.81,160800
2023-10-03 13:00:00,69.91,70.0,69.44,69.91,799100
2023-10-03 14:00:00,69.91,69.91,69.44,69.53,609400
2023-10-04 10:00:00,69.34,69.72,69.25,69.53,276200
2023-10-04 11:00:00,69.53,69.72,69.15,69.25,107500
2023-10-04 13:00:00,69.15,69.72,69.06,69.62,270300
2023-10-04 14:00:00,69.62,70.09,69.53,69.91,423900
2023-10-05 10:00:00,69.53,69.62,68.97,69.06,1080300
2023-10-05 11:00:00,69.06,69.15,69.06,69.15,137200
2023-10-05 13:00:00,69.15,69.15,68.78,68.87,533700
2023-10-05 14:00:00,68.87,68.97,68.31,68.31,820200
2023-10-06 10:00:00,68.97,69.06,68.78,68.97,321300
2023-10-06 11:00:00,68.97,69.15,68.87,69.06,129500
2023-10-06 13:00:00,69.06,69.62,68.87,69.34,360200
2023-10-06 14:00:00,69.34,69.72,69.25,69.72,416000
2023-10-09 10:00:00,69.53,69.62,69.44,69.44,379900
2023-10-09 11:00:00,69.44,69.53,69.44,69.44,53400
2023-10-09 13:00:00,69.44,69.44,69.25,69.34,184700
2023-10-09 14:00:00,69.34,69.44,69.15,69.25,212900
2023-10-10 10:00:00,69.91,70.09,69.72,69.91,462200
2023-10-10 11:00:00,69.91,70.09,69.91,70.09,54300
2023-10-10 13:00:00,70.0,70.47,70.0,70.28,279300
2023-10-10 14:00:00,70.19,70.37,69.91,69.91,228100
2023-10-11 10:00:00,69.81,69.81,69.53,69.62,482200
2023-10-11 11:00:00,69.62,69.91,69.62,69.91,52000
2023-10-11 13:00:00,70.0,70.09,69.72,70.09,350700
2023-10-11 14:00:00,70.09,70.28,69.91,69.91,249500
2023-10-12 10:00:00,71.13,71.31,70.94,71.13,1138500
2023-10-12 11:00:00,71.13,71.22,70.94,70.94,161900
2023-10-12 13:00:00,70.94,71.13,70.75,70.94,587500
2023-10-12 14:00:00,70.94,70.94,70.56,70.94,646900
2023-10-13 10:00:00,71.31,71.5,71.13,71.31,627900
2023-10-13 11:00:00,71.41,71.41,71.22,71.22,154700
2023-10-13 13:00:00,71.22,71.41,70.94,71.03,425200
2023-10-13 14:00:00,71.22,71.6,70.94,71.22,279200
2023-10-16 10:00:00,71.03,71.03,70.66,70.94,467900
2023-10-16 11:00:00,70.94,70.94,70.66,70.84,40100
2023-10-16 13:00:00,70.75,70.84,70.37,70.47,425800
2023-10-16 14:00:00,70.47,70.75,70.19,70.66,410600
2023-10-17 10:00:00,70.37,70.84,70.28,70.47,266600
2023-10-17 11:00:00,70.84,71.41,70.47,71.22,294200
2023-10-17 13:00:00,71.22,71.5,70.94,71.22,445300
2023-10-17 14:00:00,71.22,71.31,70.28,70.28,415800
2023-10-18 10:00:00,69.44,69.53,68.87,69.06,774100
2023-10-18 11:00:00,69.06,69.72,69.06,69.06,238100
2023-10-18 13:00:00,69.15,69.53,68.97,69.06,349900
2023-10-18 14:00:00,69.06,69.53,68.03,69.44,1210300
2023-10-19 10:00:00,68.21,68.4,67.65,67.74,1169200
2023-10-19 11:00:00,67.74,68.12,67.46,67.56,490200
2023-10-19 13:00:00,67.65,67.74,66.62,67.18,1258600
2023-10-19 14:00:00,67.18,67.74,66.8,67.09,986700
2023-10-20 10:00:00,66.99,66.99,65.96,66.15,763500
2023-10-20 11:00:00,66.15,66.62,66.05,66.33,188300
2023-10-20 13:00:00,66.15,66.99,66.15,66.9,540100
2023-10-20 14:00:00,66.99,68.12,66.9,67.93,879900
2023-10-23 10:00:00,66.8,66.9,65.96,66.15,1001800
2023-10-23 11:00:00,66.15,66.15,65.96,65.96,258800
2023-10-23 13:00:00,65.96,66.52,65.86,66.24,730100
2023-10-23 14:00:00,66.24,66.33,65.96,65.96,735200
2023-10-24 10:00:00,66.24,66.33,65.86,65.96,357200
2023-10-24 11:00:00,65.96,66.15,65.86,66.05,89600
2023-10-24 13:00:00,66.05,66.33,65.86,66.33,260400
2023-10-24 14:00:00,66.33,66.52,66.05,66.05,392300
2023-10-25 10:00:00,66.24,66.52,65.96,66.33,1039000
2023-10-25 11:00:00,66.33,66.33,66.05,66.05,130500
2023-10-25 13:00:00,66.15,66.24,65.96,66.05,264300
2023-10-25 14:00:00,65.96,66.15,64.83,64.83,989900
2023-10-26 10:00:00,62.58,63.05,62.58,62.67,2278000
2023-10-26 11:00:00,62.86,62.95,61.92,62.86,767600
2023-10-26 13:00:00,62.86,63.33,62.48,62.58,728200
2023-10-26 14:00:00,62.58,63.7,62.48,62.95,1427900
2023-10-27 10:00:00,63.05,63.42,62.95,63.05,557700
2023-10-27 11:00:00,63.05,63.42,62.86,62.95,266300
2023-10-27 13:00:00,62.95,63.33,62.86,62.86,506400
2023-10-27 14:00:00,62.86,63.89,62.86,63.89,480600
2023-10-30 10:00:00,63.33,63.8,63.14,63.61,302400
