CP,Năm,TỔNG CỘNG TÀI SẢN (đồng),Tiền và tương đương tiền (đồng),Tiền gửi tại ngân hàng nhà nước Việt Nam,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Chứng khoán kinh doanh,_Chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Các công cụ tài chính phái sinh và khoản nợ tài chính khác,Cho vay khách hàng,_Cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Chứng khoán đầu tư,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư,Đầu tư dài hạn (đồng),Đầu tư vào công ty con,Đầu tư vào công ty liên doanh,Tài sản dài hạn khác (đồng),Dự phòng giảm giá đầu tư dài hạn,Tài sản cố định (đồng),Tài sản cố định hữu hình,Tài sản cố định thuê tài chính,Tài sản cố định vô hình,Giá trị ròng tài sản đầu tư,Tài sản Có khác,TỔNG CỘNG NGUỒN VỐN (đồng),NỢ PHẢI TRẢ (đồng),Các khoản nợ chính phủ và NHNN Việt Nam,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi của khách hàng,_Các công cụ tài chính phái sinh và khoản nợ tài chính khác,"Vốn tài trợ, uỷ thác đầu tư của CP và các tổ chức TD khác",Phát hành giấy tờ có giá,Các khoản nợ khác,VỐN CHỦ SỞ HỮU (đồng),Vốn của tổ chức tín dụng,Quỹ của tổ chức tín dụng,Chênh lệch tỷ giá hối đoái,Chênh lệch đánh giá lại tài sản,Lãi chưa phân phối (đồng),Cổ đông thiểu số,TÀI SẢN NGẮN HẠN (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),TÀI SẢN DÀI HẠN (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Vốn và các quỹ (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Nợ dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Nợ ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Phải thu dài hạn khác (đồng),Phải thu về cho vay dài hạn (đồng),Phải thu dài hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,Lợi thế thương mại,Tài sản dài hạn khác,Các quỹ khác,Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ
VPB,2024,923847637000000,2148289000000,14327215000000,134643662000000,13110971000000,13180721000000,-69750000000,0,676545598000000,692875738000000,-16330140000000,52783054000000,51857428000000,992927000000,-67301000000,189210000000,0,0,189210000000,0,2023899000000,1437082000000,0,586817000000,0,27275914000000,923847637000000,776572375000000,5713000000,201756421000000,485666548000000,28057000000,10894000000,66975704000000,22129038000000,147275262000000,103331782000000,14565614000000,0,0,24007579000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79339236000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5370287000000
VPB,2023,817566922000000,2284990000000,8422511000000,94093778000000,12325809000000,12406274000000,-80465000000,0,551472066000000,566271290000000,-14799224000000,94587476000000,88050457000000,6755260000000,-218241000000,189210000000,0,0,189210000000,0,1923801000000,1298099000000,0,625702000000,0,51445520000000,817566922000000,677771395000000,4118311000000,156356651000000,442368381000000,392000000,22045000000,47787312000000,27118303000000,139795527000000,103331782000000,12233282000000,0,0,19065969000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79339236000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5164494000000
VPB,2022,631012886000000,2658493000000,9935379000000,47965493000000,7793447000000,7850639000000,-57192000000,0,424662382000000,438338047000000,-13675665000000,83075897000000,82718218000000,610279000000,-252600000000,189210000000,0,0,189210000000,0,1858126000000,1219108000000,0,639018000000,0,51981273000000,631012886000000,527510966000000,1929233000000,140249116000000,303151417000000,15369000000,47050000000,63699974000000,18418807000000,103501920000000,66550770000000,13535084000000,0,0,16751804000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67434236000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6664262000000
VPB,2021,547409439000000,2345733000000,10860730000000,57104628000000,6970941000000,7005061000000,-34120000000,103299000000,345390282000000,355281219000000,-9890937000000,75798431000000,75313521000000,722934000000,-238024000000,249710000000,0,0,249731000000,-21000000,1872973000000,1216957000000,0,656016000000,0,45754022000000,547409439000000,461131292000000,8454375000000,114619106000000,241837028000000,0,103930000000,81295633000000,14821220000000,86278147000000,43373620000000,12558832000000,0,0,22439214000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45056930000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7906481000000
VPB,2020,419026527000000,3282556000000,5779610000000,19554808000000,493214000000,493214000000,0,0,286319402000000,290816086000000,-4496684000000,76485435000000,75959904000000,854344000000,-328813000000,238581000000,0,0,238602000000,-21000000,1862830000000,1212163000000,0,650667000000,0,24751811000000,419026527000000,366233025000000,14220000000,56511282000000,233427953000000,139825000000,187156000000,62845488000000,13107101000000,52793502000000,23466370000000,11911768000000,0,0,17415364000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25299680000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
VPB,2019,377204126000000,2459321000000,3454138000000,20097553000000,1566592000000,1571141000000,-4549000000,0,253099865000000,257183959000000,-4084094000000,68729363000000,67786907000000,1094329000000,-151873000000,164425000000,0,0,238602000000,-74177000000,1922972000000,1342690000000,0,580282000000,0,25709897000000,377204126000000,334994384000000,19492000000,50867989000000,213949568000000,45670000000,291823000000,57599723000000,12220119000000,42209742000000,23296370000000,7107405000000,0,0,11805967000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25299680000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
VPB,2018,323291119000000,1855473000000,10828571000000,16571491000000,4202413000000,4240742000000,-38329000000,0,218395223000000,221961996000000,-3566773000000,51926416000000,49417157000000,3564933000000,-1055674000000,190654000000,0,0,227602000000,-36948000000,1963096000000,1385572000000,0,577524000000,0,17357782000000,323291119000000,288541050000000,3781343000000,54231451000000,170850871000000,18571000000,329649000000,48658036000000,10671129000000,34750069000000,24096960000000,5465879000000,0,0,5187230000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25299680000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
VPB,2017,277752314000000,2574284000000,6460795000000,17520025000000,1424854000000,1424854000000,0,0,179518809000000,182666213000000,-3147404000000,53558049000000,50384788000000,4151127000000,-977866000000,152506000000,0,0,194602000000,-42096000000,808486000000,457682000000,0,350804000000,0,15734506000000,277752314000000,248056604000000,26015000000,38063849000000,133550812000000,160469000000,328777000000,66104605000000,9822077000000,29695710000000,21572335000000,3558265000000,0,0,4565110000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15706230000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
VPB,2016,228770918000000,1727361000000,2982589000000,9388905000000,2952206000000,2953769000000,-1563000000,0,142583251000000,144673213000000,-2089962000000,55339988000000,51948658000000,4136200000000,-744870000000,222930000000,0,0,299372000000,-76442000000,624197000000,422772000000,0,201425000000,27162000000,12922329000000,228770918000000,211593390000000,1103686000000,28835898000000,123787572000000,191325000000,1389786000000,48650527000000,7634596000000,17177528000000,10469863000000,2950192000000,0,0,3757473000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9181000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
VPB,2015,193876428000000,1632425000000,2261499000000,14599675000000,2043647000000,2046735000000,-3088000000,0,115062473000000,116804247000000,-1741774000000,47729481000000,43950621000000,4520639000000,-741779000000,322511000000,0,0,322984000000,-473000000,509574000000,325013000000,0,184561000000,27600000000,9687543000000,193876428000000,180487506000000,4821063000000,17764430000000,130270670000000,131760000000,383188000000,21859941000000,5256454000000,13388922000000,9345329000000,1324775000000,0,0,2718818000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8056466000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
