CP,Năm,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,(Lãi)/lỗ các hoạt động khác,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Lưu chuyển tiền thuần từ HĐKD trước thuế,Tiền thu nhập doanh nghiệp đã trả,Chi từ các quỹ của TCTD,Mua sắm TSCĐ,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)","Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)",Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Tiền thu được từ thanh lý tài sản cố định,Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận
VPB,2024,0,0,0,-198681000000,42259511000000,57316185000000,0,0,-59296000000,12801000000,-45039000000,0,-7935832000000,49335314000000,93667470000000,0,143002784000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57316185000000,1715000000,0,0,0.0,0.0,0.0,0.0,-7935832000000,0.0
VPB,2023,0,0,0,2065153000000,36232541000000,11459579000000,0,0,-107210000000,3147000000,-103098000000,35897546000000,28265818000000,39622299000000,54045171000000,0,93667470000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11459579000000,965000000,0,0,0.0,0.0,0.0,0.0,-7933924000000,0.0
VPB,2022,0,0,0,6808756000000,37544371000000,692537000000,0,0,-105899000000,12801000000,-725294000000,0,300000000000,267243000000,53777928000000,0,54045171000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692537000000,3242000000,-635438000000,0,0.0,0.0,0.0,0.0,0,0.0
VPB,2021,0,0,0,-481781000000,29265887000000,5115790000000,0,0,-39377000000,1967000000,25882907000000,0,-111960000000,30886737000000,22891191000000,0,53777928000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5115790000000,3103000000,-16500000000,25933714000000,0.0,0.0,0.0,0.0,0,0.0
VPB,2020,0,0,0,90068000000,25933405000000,1319553000000,0,0,-25534000000,5013000000,5193000000,0,170000000000,1494746000000,21396445000000,0,22891191000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319553000000,25714000000,0,0,0.0,0.0,0.0,0.0,0,0.0
VPB,2019,0,0,0,141417000000,23164320000000,-3167365000000,0,0,-48222000000,2634000000,-42272000000,0,-3415590000000,-6625227000000,28021672000000,0,21396445000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3167365000000,14316000000,-11000000000,0,0.0,0.0,0.0,0.0,0,0.0
VPB,2018,0,0,0,2589855000000,18384963000000,8686319000000,0,0,-118535000000,845000000,-117237000000,336951000000,-4801209000000,3767873000000,24253799000000,0,28021672000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8686319000000,453000000,0,0,0.0,0.0,0.0,0.0,-146439000000,0.0
VPB,2017,0,0,0,1230931000000,16996400000000,9215782000000,0,0,-214416000000,598000000,160944000000,6224386000000,6077947000000,15454673000000,8799126000000,0,24253799000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9215782000000,237074000000,-30000000000,157740000000,0.0,0.0,0.0,0.0,-146439000000,0.0
VPB,2016,0,0,0,476319000000,9959202000000,-6423441000000,0,0,-188473000000,872000000,-131623000000,0,2730521000000,-3824543000000,12623669000000,0,8799126000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6423441000000,47723000000,0,8255000000,0.0,0.0,0.0,0.0,-146439000000,0.0
VPB,2015,0,0,0,620946000000,7156848000000,1178387000000,0,0,-222114000000,2344000000,133567000000,2019690000000,2019690000000,3331644000000,9292025000000,0,12623669000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178387000000,155911000000,0,382702000000,0.0,0.0,0.0,0.0,0,0.0
