CP,Năm,Doanh thu (đồng),Tăng trưởng doanh thu (%),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,Chi phí quản lý DN,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,LN trước thuế,Thuế TNDN,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Cổ đông thiểu số,Lợi nhuận thuần,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu,Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,_Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác
VPB,2024,80111645000000,0.046426198745027535,15778795000000,0.58200235634086,80111645000000,-31031238000000,49080407000000,13201660000000,-7075337000000,6126323000000,827240000000,360956000000,469667000000,9559809000000,-4182147000000,5377662000000,12801000000,62255056000000,-14339732000000,47915324000000,-27902624000000,20012700000000,-4025874000000,-3962779000000,-63095000000,-208031000000,15986826000000,15778795000000,1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPB,2023,76557377000000,0.23082104975462317,9973939000000,-0.4510151603085166,76557377000000,-38382701000000,38174676000000,12307787000000,-5095905000000,7211882000000,-805973000000,380173000000,250032000000,7774012000000,-3248461000000,4525551000000,3147000000,49739488000000,-13941218000000,35798270000000,-24994374000000,10803896000000,-2309725000000,-2984015000000,674290000000,1479768000000,8494171000000,9973939000000,1433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPB,2022,62200250000000,0.22376158481446257,18167968000000,0.5500081561559184,62200250000000,-21179192000000,41021058000000,10455695000000,-4017943000000,6437752000000,-618050000000,-149194000000,508755000000,13017039000000,-2433072000000,10583967000000,12801000000,57797089000000,-14115731000000,43681358000000,-22461226000000,21220132000000,-4311325000000,-4859848000000,548523000000,1259161000000,16908807000000,18167968000000,2718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPB,2021,50827098000000,-0.02930896125029547,11721208000000,0.12555004148357557,50827098000000,-16478269000000,34348829000000,6884061000000,-2825030000000,4059031000000,-76394000000,8879000000,3150866000000,5468704000000,-2660916000000,2807788000000,2476000000,44301475000000,-10718937000000,33582538000000,-19218768000000,14363770000000,-2886600000000,-2886600000000,0,244038000000,11477170000000,11721208000000,2647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPB,2020,52361767000000,0.04986453675669052,10413760000000,0.2607056216006682,52361767000000,-20015944000000,32345823000000,6166753000000,-2810626000000,3356127000000,-307207000000,226466000000,1170731000000,3441951000000,-1205790000000,2236161000000,5013000000,39033114000000,-11392021000000,27641093000000,-14621638000000,13019455000000,-2605695000000,-2605695000000,0,0,10413760000000,10413760000000,4271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPB,2019,49874784000000,0.2381956064086452,8260263000000,0.12299458043212978,49874784000000,-19204323000000,30670461000000,5487466000000,-2695847000000,2791619000000,-216879000000,284845000000,803159000000,2682220000000,-662555000000,2019665000000,2634000000,36355504000000,-12343718000000,24011786000000,-13687625000000,10324161000000,-2063898000000,-2063898000000,0,0,8260263000000,8260263000000,3376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPB,2018,40280214000000,0.18008309229111885,7355568000000,0.1420329286869095,40280214000000,-15578639000000,24701575000000,3818797000000,-2206301000000,1612496000000,-103750000000,-56821000000,250057000000,5363874000000,-682613000000,4681261000000,845000000,31085663000000,-10633924000000,20451739000000,-11253231000000,9198508000000,-1842940000000,-1842940000000,0,0,7355568000000,7355568000000,3025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPB,2017,34133371000000,0.33171614532898214,6440767000000,0.6367708628490907,34133371000000,-13518945000000,20614426000000,3210071000000,-1748527000000,1461544000000,-158842000000,179638000000,339477000000,3208782000000,-672502000000,2536280000000,53568000000,25026091000000,-8894970000000,16131121000000,-8001058000000,8130063000000,-1689296000000,-1689296000000,0,0,6440767000000,6440767000000,4564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPB,2016,25631116000000,0.36635150615436457,3935045000000,0.6424297999722857,25631116000000,-10463257000000,15167859000000,2114834000000,-1261908000000,852926000000,-318960000000,-149384000000,91874000000,1450885000000,-232315000000,1218570000000,872000000,16863757000000,-6621352000000,10242405000000,-5313094000000,4929311000000,-994266000000,-994266000000,0,0,3935045000000,3935045000000,4485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPB,2015,18758801000000,0.5122921090229147,2395868000000,0.9112008442931637,18758801000000,-8405364000000,10353437000000,1597313000000,-712646000000,884667000000,-290472000000,44587000000,27966000000,957363000000,-82291000000,875072000000,171054000000,12066311000000,-5692469000000,6373842000000,-3277640000000,3096202000000,-700334000000,-700598000000,264000000,0,2395868000000,2395868000000,3072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
