Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
VPB,2024,5,0,0,0.01374228755403606,1.8562727523798852,0,0,,0,0,,0,0.0,0.0,0.3214886746966055,0.1113789812,0,0.0183607354,0,0.0,0.0,0,0,0,,6.27293154637199,152728029300000,7933923600,9.6793214754,1.0762697312,2.4532630619,2.6646579723,1988.7757678937064,17885.8509552575,0
VPB,2023,5,0,0,0.013761534730649859,1.7619973928458301,0,0,,0,0,,0,0.0,0.0,0.26127108452734477,0.0698254018,0,0.0117275844,0,0.0,0.0520833333,0,0,0,,5.84830530378844,152331333120000,7933923600,15.2729361108,1.1314726607,3.0625834572,13.2929257803,1257.1256673053922,16969.0357240143,0
VPB,2022,5,0,0,0.0179525751792817,1.304548987426026,0,0,,0,0,,0,0.0,0.0,0.44289369620842056,0.1781937088,0,0.0286973637,0,0.0,0.0520833333,0,0,0,,6.09662976300343,129473733120000,6743423600,7.126483992,1.3370184264,2.2401428058,186.9556906274,2694.1757003074817,14360.3106884758,0
VPB,2021,5,0,0,0.02170854457502431,1.0874587573432823,0,0,,0,0,,0,0.0,0.0,0.3412403957060661,0.1650540579,0,0.0237515374,0,0.0,0.0,0,0,0,,6.344705560261975,80651904700000,4505693000,6.8808526135,1.0290951924,1.8205241406,15.7652883914,2601.4218012634237,17393.9205356424,0
VPB,2020,5,0,0,0.03528521369921624,0.6654148017425559,0,0,,0,0,,0,0.0,0.0,0.3219506889653109,0.2192295665,0,0.0261576466,0,0.0,0.0,0,0,0,,7.937085268562028,90572854400000,2529968000,8.6974209507,1.7156061062,2.3204106749,68.6390424636,4116.162734074107,20867.2607716777,0
VPB,2019,5,0,0,0.04555753977363804,0.5320159875837454,0,0,,0,0,,0,0.0,0.0,0.2693230792976995,0.2146643266,0,0.0235840659,0,0.0,0.0,0,0,0,,8.936423397233748,166977888000000,2529968000,20.2145970413,3.9559087568,4.5929190804,-52.7182336106,3264.9673829866624,16683.9035118231,0
VPB,2018,5,0,0,0.05649185905213598,0.43799349158870227,0,0,,0,0,,0,0.0,0.0,0.29777728748065657,0.2282715211,0,0.0244759949,0,0.0,0.0,0,0,0,,9.303323081171436,166977888000000,2529968000,22.700882923,4.8051095381,5.3715401856,19.2230895504,2907.375903568741,13735.3788664521,0
VPB,2017,5,0,0,0.027225683440470022,0.37428782394951626,0,0,,0,0,,0,0.0,0.0,0.3124397933757651,0.2748163888,0,0.0254312797,0,0.0,0.0,0,0,0,,9.353280793757751,103661118000000,1570623000,16.0945300459,3.4907775568,4.142121836,11.248217243,4100.772113995529,18906.9623964503,0
VPB,2016,5,0,0,0.03633799927440083,0.21650735328274306,0,0,,0,0,,0,0.0,0.0,0.25943312104892324,0.2574747804,0,0.0186209379,0,0.0,0.0,0,0,0,,13.318034934945238,60594600000000,918100000,15.3987057327,3.5275506464,3.5931850773,-9.4333551129,4286.074501688269,18709.8660276658,0
VPB,2015,5,0,0,0.03805937475772882,0.16875536838182367,0,0,,0,0,,0,0.0,0.0,0.23140798558005424,0.2142112114,0,0.013417802,0,0.0,0.0,0,0,0,,14.480361301679105,53172675600000,805646600,22.1934912942,3.9713933355,4.4067052142,45.1232707082,2973.844859520291,16618.8524844516,0
VPB,2014,5,0,0,0.06714111284762916,0.11318857417366754,0,0,,0,0,,0,0.0,0.0,0.23692541816076734,0.1500681122,0,0.0088124265,0,0.0,0.0,0,0,0,,18.17773001889136,41892906000000,634741000,33.4182673324,4.6649836475,6.6803537711,8.1612599067,1974.9677427486172,14147.9595614589,0
VPB,2013,5,0,0,0.054164800302121334,0.09738809432228612,0,0,,0,0,,0,,,0.24511129871991116,0.1409855955,0,0.0090884303,0,,0.0,0,0,0,,15.69420542827032,38082000000000,577000000,37.4226135493,4.9286260352,7.4888587445,-2.5502984456,1763.6395147313692,13391.1559792028,0
